requirement_id,type,stakeholder,current_issue,requirement,priority,acceptance_measure,traceability
REQ-001,Functional,Customer Service,Requests lack consistent information,"The system shall require customer name, preferred contact method, service address, request category, and request description before standard submission.",High,"A standard request cannot be submitted when any required field is blank.",Missing-information rate
REQ-002,Functional,All Users,Duplicate records are difficult to identify,"The system shall generate one unique request ID at initial creation and display it in all subsequent views and notifications.",High,"Every created request receives a unique immutable identifier.",Duplicate-record rate
REQ-003,Functional,Scheduling Coordinator,Requests are routed manually,"The system shall route new requests to a shared coordinator queue based on request category and priority.",High,"Test requests appear in the correct queue within one minute of submission.",Intake-to-schedule time
REQ-004,Functional,Operations Manager,Ownership is unclear,"The system shall require one accountable owner for every active request and record ownership changes.",High,"No active request can remain without an owner beyond the configured assignment interval.",Recorded-owner rate
REQ-005,Functional,Scheduling Coordinator,Incomplete requests reach scheduling,"The system shall prevent a request from moving to Scheduled status until required scheduling information is complete.",High,"Status transition is blocked and missing fields are identified to the user.",Missing-information rate
REQ-006,Functional,Customer,Confirmations are inconsistent,"The system shall send a confirmation containing the request ID and expected next step after successful submission.",High,"A confirmation is logged for at least 95% of valid test submissions.",Timely customer-update rate
REQ-007,Functional,Customer,Status changes are communicated manually,"The system shall send configurable notifications when a request is scheduled, rescheduled, completed, or cancelled.",Medium,"Each tested status change creates the correct notification and audit entry.",Timely customer-update rate
REQ-008,Functional,Field Technician,Job details are spread across messages,"The system shall provide technicians with a single job summary containing verified customer, location, service, schedule, and access information.",High,"Technicians can view all approved job-summary fields from one record.",Technician readiness
REQ-009,Functional,Operations Manager,Performance reporting is manual,"The system shall display backlog, average intake-to-schedule time, missing-information rate, duplicate rate, and service-level compliance by category.",Medium,"Dashboard calculations match an independently checked test dataset.",Management visibility
REQ-010,Nonfunctional,System Administrator,Customer data access is overly broad,"The system shall enforce role-based access using least-privilege permissions for customer service, scheduling, technicians, managers, and administrators.",High,"Permission tests confirm each role can access only approved records and actions.",Security control
REQ-011,Nonfunctional,All Users,System delays could encourage workarounds,"The system shall load standard request and queue views within three seconds for at least 95% of pilot transactions.",Medium,"Performance test results meet the response-time threshold.",User adoption
REQ-012,Nonfunctional,Operations Manager,Record changes are not traceable,"The system shall retain an audit history of status, owner, schedule, and priority changes including user and timestamp.",High,"Audit review shows complete before-and-after values for every tested material change.",Auditability
